When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation
2/12/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,"Hold your breath for 10 seconds; if you are able to do this, you are not infected with COVID-19.","Line, Facebook",https://www.facebook.com/100017726027161/videos/553998961867633/,https://tfc-taiwan.org.tw/articles/2501,Chinese (traditional),False ,There is no evidence to support this claim. People must have a test conducted by hospitals or legitimate labs to determine infection with COVID-19.
2/28/2020,South Korea,Taiwan,,,"South Korea, Taiwan",JTBC news,It is possible to self-diagnose by holding your breath for 10 seconds.,Many social media platforms,,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11937243,Korean,False ,There is no medical evidence to support this claim.
3/10/2020,United States,,,,United States,PolitiFact,You can monitor yourself for COVID-19 with a breath test.,Facebook,https://archive.fo/zLsSY,https://www.politifact.com/factchecks/2020/mar/13/viral-image/dont-hold-your-breath-isnt-credible-way-test-coron/,English,False ,Holding your breath for 10 seconds is not a proven test for COVID-19.
3/11/2020,Croatia,,,,Croatia,Faktograf,Holding your breath for 10 seconds can determine if you have COVID-19; drink water every 15 minutes.,Facebook,http://archive.li/oknZL,https://faktograf.hr/2020/03/12/zadrzavanje-daha-na-10-sekundi-topla-voda-sladoled-i-ostale-dezinformacije-vezane-za-koronavirus/,Croatian,False ,The article lists myths that contradict WHO recommendations.
3/11/2020,France,,,,France,AFP,Hold your breath 10 seconds to check if you are infected with the novel coronavirus.,Facebook,https://perma.cc/7SCM-63YA,https://factuel.afp.com/retenir-son-souffle-ne-permet-pas-de-detecter-si-une-personne-est-atteinte-du-covid-19-selon-loms,French,False ,"Only a test made by labs can detect the novel coronavirus, according to the WHO and some experts interviewed by AFP."
3/10/2020,Spain,,,,Spain,Newtral.es,Holding your breath for 10 seconds can determine if you have COVID-19 and you should drink water every 15 minutes.,WhatsApp,No link,https://www.newtral.es/contener-la-respiracion-no-permite-saber-si-uno-esta-infectado-por-coronavirus-y-tomar-agua-cada-15-minutos-tampoco-acabara-con-el/20200310/?check=3,Spanish,False ,There is no medical and scientific evidence of this claim.
3/11/2020,Spain,,,,Spain,Maldita.es,Neuroscientist Rodolfo Llinás says that if you can last 10 seconds without coughing and without discomfort it means that there is no fibrosis in the lungs and therefore no coronavirus infection.,Unknown,https://www.youtube.com/watch?v=rBq_XdBnKNk&feature=youtu.be,https://maldita.es/malditobulo/2020/03/11/video-coronavirus-fibrosis-respiracion-50-rodolfo-llinas/,Spanish,False ,Rodolfo Llinás claims he did not say that and there is no evidence the recommendations are effective.
3/12/2020,Ireland,,,,Ireland,TheJournal.ie,You can check for coronavirus by holding your breath for 10 seconds.,WhatsApp,https://img2.thejournal.ie/inline/5048512/original/?width=482&version=5048512,https://jrnl.ie/5048482,English,False ,There is no evidence to support the claim.
3/12/2020,North Macedonia,Croatia,Bosnia and Herzegovina,Greece,"North Macedonia, Croatia, Bosnia and Herzegovina, Greece",Vistinomer,"The virus can be overcome by drinking hot water every 15 minutes, avoiding cold drinks and ice cream, going out in the sun to kill the virus, and with the ""self-diagnostic guideline"" -- if you hold your breath for 10 seconds and then you do not cough, you do not choke, you do not feel any tension in the lungs, you have no cystic fibrosis in the lungs and the situation is reversible.",Media,,https://vistinomer.mk/dezinformaciite-za-unishtuva%d1%9aeto-na-korona-virusot-i-rakot-ne-umiraat/,Macedonian,False ,"These claims are false. The virus enters the oral cavity and the nose, so drinking hot water will not carry the virus to the stomach. Viruses are destroyed at higher temperatures than those normally tolerated by humans, and even sun exposure and body heat have no effect."
3/12/2020,Denmark,,,,Denmark,TjekDet.dk,If you can hold your breath for 10 seconds then you don't have fibrosis and therefore no infection. Picture of text in English describing the method.,Facebook user,https://www.facebook.com/photo.php?fbid=10163085286800032&set=a.10151013868775032&type=3&theater,https://www.mm.dk/tjekdet/artikel/nej-du-afsloerer-ikke-corona-infektion-ved-at-holde-vejret-i-ti-sekunder,Danish,FALSE,"The recommendation to hold your breath for 10 seconds is shared in several different social media posts. Supposedly, it can reveal if you have pneumonia, which is one of the symptoms if you have been infected with the coronavirus, COVID-19. But closing your mouth, holding your nose for ten seconds, and waiting for you to cough or not, you can't use for anything, experts say."
3/15/2020,Colombia,,,,Colombia,Colombiacheck,Holding your breath for 10 seconds will tell you if you have COVID-19.,WhatsApp,,https://colombiacheck.com/chequeos/sostener-la-respiracion-por-10-segundos-no-ayuda-identificar-infeccion-por-covid-19,Spanish,False ,This is not an approved method for testing.
3/16/2020,Indonesia,,,,Indonesia,TEMPO,Coronavirus detection is possible by holding your breath for 10 seconds,Facebook,https://archive.ph/s2TLp,https://cekfakta.tempo.co/fakta/671/fakta-atau-hoaks-benarkah-deteksi-virus-corona-bisa-dilakukan-dengan-menahan-napas-10-detik,Bahasa Indonesia,False ,"Infection can be determined only through laboratory tests. No health organization, such as the US CDC, the WHO and the Ministry of Health, have included fibrosis as a symptom of COVID-19."
3/16/2020,Brazil,,,,Brazil,Agência Lupa,"You can self-diagnose COVID-19 by holding your breath for 10 seconds, and avoid COVID-19 by drinking water constantly. COVID-19 causes fibrosis in the lungs.","Facebook, WhatsApp",https://www.facebook.com/cheff.juneck/photos/a.329778110565281/1429517993924615,https://piaui.folha.uol.com.br/lupa/2020/03/16/verificamos-prender-respiracao-10-segundos-novo-coronavirus/,Portuguese,False ,"None of this is true. COVID-19 does not cause lung fibrosis, which renders the ""hold your breath"" argument senseless. "
3/17/2020,India,,,,India,FactCrescendo,"If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.",Facebook,https://archive.org/details/222_20200325,https://english.factcrescendo.com/2020/03/25/holding-your-breathe-for-10-seconds-is-not-a-valid-test-for-coronavirus/,English,False ,Holding your breath for 10 seconds cannot confirm whether or not you are infected with the coronavirus.
3/17/2020,North Macedonia,Kosovo,,,"North Macedonia, Kosovo",Vistinomer,"If you can hold your breath for 10 seconds without coughing or chest pain, you are good, you don't have COVID-19, and If your nose is clogged or runny, it's just a cold.",Facebook,,https://vistinomer.mk/covid-19-dezinformaciite-povtorno-go-nadvladea%d1%98a-i-svetot-i-balkanot/,Macedonian,False ,Dr. Robert Legar Atmar told CNN these claims are not accurate. Someone with an acute viral infection breathes with difficulty because the airways are irritated. Being able to hold his/her breath for 10 seconds does not mean he/she is not infected with coronavirus.
3/18/2020,Poland,,,,Poland,Demagog,Retaining your breath for 10 seconds will help you detect the coronavirus.,Facebook,https://www.facebook.com/CoronaVirusa.fanpage/photos/a.101794104788897/102387648062876/?type=3&__tn__=-R,https://demagog.org.pl/analizy_i_raporty/wstrzymaniem-oddechu-nie-sprawdzisz-czy-masz-koronawirusa/,Polish,False ,It is not a valid test.
3/21/2020,India,,,,India,Vishvas News,This is a self-check test for coronavirus.,Facebook,https://archive.md/wip/UpoQL,https://www.vishvasnews.com/english/health/fact-check-no-holding-your-breath-for-10-seconds-isnt-a-coronavirus-self-check-test/,English,False ,"Holding your breath for 10 seconds isn't a coronavirus ""self-check test."" Keeping your throat moist and drinking water every 15 minutes cannot kill coronavirus."
3/23/2020,Kenya,East Africa,,,"Kenya, East Africa",PesaCheck,Holding your breath can let you test whether you may have COVID-19.,Facebook,https://archive.vn/FR1a6,https://pesacheck.org/false-holding-your-breath-is-not-a-proven-self-check-test-for-covid-19-e51a6e58353a?source=rss----ab41f21aa9a9---4,English,False ,"Holding your breath for 10 seconds is not a valid way to test if you may have COVID-19, and the WHO recommends testing by qualified health professionals."
3/23/2020,India,,,,India,India Today,Hold your breath for 10 seconds to check if you have the coronavirus.,Facebook,https://www.facebook.com/permalink.php?story_fbid=858983731210882&id=358213767954550,https://www.indiatoday.in/fact-check/story/fact-check-coronavirus-hold-breath-1658725-2020-03-23,English,False ,"Most young COVID-19 patients will be able to hold their breath for much longer than 10 seconds, while many elderly without the virus won't be able to do it."
3/23/2020,United States,,,,United States ,MediaWise,Holding your breath for 10 seconds is a way to test for the coronavirus.,TikTok,https://vm.tiktok.com/pGC6oN/,https://youtu.be/OmWd3aDfSeo,English,FALSE,Holding your breath is not a method of testing for the coronavirus.
3/24/2020,Paraguay,,,,Paraguay,El Surtidor,Holding your breath for 10 seconds is a way to test for coronavirus.,WhatsApp,,https://elsurti.com/coronavirus-falso-respiracion/,Spanish,False ,"In a video, a woman showed how to supposedly test for coronavirus by holding her breath for 10 seconds. A WHO expert denied it."
4/1/2020,United States,,,,United States,Science Feedback,Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,Steven Aitchison on Change Your Thoughts Change Your Life,http://archive.md/iLvO3,https://healthfeedback.org/claimreview/viral-video-mixes-truth-about-covid-19-with-a-long-list-of-ineffective-treatments-and-preventions/,English,Mostly false,"Numerous claims circulating on social media tout untested diagnostic methods, preventions, treatments, and cures for COVID-19. While many of these are not harmful by themselves, they could potentially induce a false sense of security that causes individuals to ignore basic, tested precautionary measures such as frequent handwashing, disinfecting surfaces, avoiding touching the face, social distancing, and self-isolation when sick, which have all proven effective in slowing the spread of the pandemic."
4/15/2020,Myanmar,,,,Myanmar,FactCrescendo,Video post claiming that COVID-19 infection can be identified by holding breath for 10 seconds.,Facebook,https://archive.org/details/holding-breaths-for-ten-seconds-test-for-covid19,https://myanmar.factcrescendo.com/fact-check-covid-19-infection-can-be-tested-by-holding-breath-for-10-seconds/,Burmese,FALSE,WHO has clarified that holding breath for 10 seconds is not a valid test for COVID-19.
4/29/2020,Japan,,,,Japan,BuzzFeed Japan,"Being able to ""take a deep breath and hold it for 10 seconds,"" means you are not infected with COVID-19.",LINE,,https://www.buzzfeed.com/jp/yutochiba/hold-your-breath-for-10-seconds-myth,Japanese,FALSE,"According to Dr. Sohtaro Mine, a postdoctoral researcher at a U.S. national research institute, ""Whether you can hold your breath or not is irrelevant to whether you have pneunomia or any other inflammatory condition in your air passages"""
