When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation
4/25/2020,United States,,,,United States,Science Feedback,"Elisa Granato, the first volunteer in the first Europe human trial of a COVID-19 vaccine, has died.","James Alami, News NT",http://archive.vn/vpfUA,https://healthfeedback.org/claimreview/volunteer-for-u-k-covid-19-vaccine-trial-elisa-granato-is-alive-contrary-to-claim-in-viral-article/,English,FALSE,"The first volunteer for a U.K. COVID-19 vaccine trial Elisa Granato is not dead. This false claim has been widely spread by anti-vaccine groups, likely in an attempt to promote doubts about vaccine safety."
4/25/2020,Nigeria,,,,Nigeria,AFP,An online report shared tens of thousands of times on Facebook and Twitter claims that one of Britain’s first volunteers to be injected with a trial coronavirus vaccine has died.,"FB, Twitter",https://perma.cc/5R39-MSFN,https://factcheck.afp.com/britains-first-coronavirus-vaccine-volunteer-has-not-died-after-trial-jab,English,FALSE,"However, the claim is false, originating from a website with a history of spreading misinformation. The volunteer, herself, has dismissed the report, which was also denied by UK health officials and the scientists behind the trial."
4/26/2020,Italy,,,,Italy,Open,First volunteer in UK coronavirus vaccine trial Elisa Granato has died.,Site,https://n5ti.com/stories/1275/,https://www.open.online/2020/04/26/coronavirus-e-morta-elena-granato-la-prima-volontaria-per-il-vaccino-no-la-bufala-diffusa-dal-sito-macedone/,Italian,FALSE,Elisa Granato is alive and denied the false informatio via Twitter.
4/26/2020,India,,,,India,Factly,"Elisa Granato (32-year-old), the first woman to get vaccine for COVID-19, died. ",Social Media,https://archive.fo/JLnpM,https://factly.in/telugu-tv9-scrolls-fake-news-that-uks-corona-vaccine-trial-volunteer-elisa-granato-has-died/,Telugu,FALSE,"Elisa Granato (32-year-old), the first woman to get vaccine for COVID-19 has not died. A BBC journalist tweeted saying that Elisa Granato is alive and healthy. Furthermore, in his tweet he has also included the video of Elisa Granato saying that she is alive."
4/27/2020,Sri Lanka,,,,Sri Lanka,FactCrescendo,"Dr. Elisa Granato, the first volunteer for vaccine trials in UK, has died.",Facebook/Twitter,http://archive.is/wip/xGD9r,https://srilanka.factcrescendo.com/english/fact-check-fake-article-about-dr-elisa-granatos-death/,English,FALSE,Dr Elisa Granato is alive and well confirmed by a video conversation with a UK journalist. Dr Elisa Granato had also tweeted from her personal account refuting the false claims.
4/27/2020,India,,,,India,FactCrescendo,"First volunteer for COVID-19 Vaccine in UK, Dr. Elisa Granato, is dead.",Facebook/Twitter/WhatsApp,https://web.archive.org/web/20200426022149/https:/n5ti.com/stories/1275/,https://english.factcrescendo.com/2020/04/27/the-first-volunteer-of-uk-coronavirus-vaccine-trial-is-alive/,English,FALSE,Dr. Elisa Granato is alive and healthy and gave interviews to debunk the rumor.
4/28/2020,Nigeria,,,,Nigeria,Dubawa,A blog site reported the demise of a trial volunteer of a potential COVID-19 treatment. ,Blog site ,http://archive.vn/BQpZA,https://dubawa.org/im-very-much-alive-elisa-granato-vaccine-trial-volunteer-says-debunking-rumours-of-her-death/,English,FALSE,"Other than the unreliable nature of the blog consequent on the succesion of false reports present, Elisa Granato, a volunteer in a trial of a potential COVID-19 vaccine at Oxford University, said she is very much alive. The UK government has also said the same."
4/29/2020,Kenya,United Kingdom,,,"Kenya, United Kingdom",PesaCheck,One of the first recipients of a trial COVID-19 vaccine died.,Facebook,http://archive.vn/2M4WG,https://pesacheck.org/false-reports-that-the-first-covid-19-trial-vaccine-recipient-has-died-are-untrue-1589be56a0dc,English,FALSE,"The first recipient, Dr Elisa Granato, was interviewed by the BBC after reports of her death first emerged. She said she is doing fine. "
4/29/2020,South Africa,,,,South Africa ,AfricaCheck,"According to the headlines of an article shared as a screenshot, the first volunteer in the United Kingdom's COVID-19 vaccine trial has died, two days after getting the injection. ",Facebook,https://www.facebook.com/sekhohliwe.lamola.7/posts/2549484475266358,https://africacheck.org/fbcheck/im-very-much-alive-no-first-volunteer-in-uk-covid-19-trial-hasnt-died/,English,FALSE,"It's been widely reported that Dr Elisa Granato is still alive. She has changed her Twitter name to ""Dr Elisa Granato - 100% alive"" and the BBC has shared a video of her on Twitter, ""very much alive"", as she says herself. "
4/26/2020,United Kingdom,,,,United Kingdom,Full Fact,"Dr Elisa Granato, one of the first participants in a UK COVID-19 vaccine trial, has died.",News media,https://web.archive.org/web/20200426082152/https://n5ti.com/stories/1275/,fullfact.org/online/elisa-granato-fake/,English,FALSE,This is false. She is not dead.
4/29/2020,United States,,,,United States,Check Your Fact,"Dr. Elisa Granato, one of the first volunteers to receive a potential COVID-19 vaccine in the U.K., has died.",Facebook,https://checkyourfact.com/2020/04/29/fact-check-elisa-granato-volunteer-coronavirus-vacccine-trial-died/,https://checkyourfact.com/2020/04/29/fact-check-elisa-granato-volunteer-coronavirus-vacccine-trial-died/,English,FALSE,"Granato has not died. The U.K. Department of Health and Social Care debunked the claim on Twitter, and so did Granato."
4/27/2020,India,,,,India,Newsmeter.in,UK’s Covid-19 vaccine trial volunteer Dr Elisa Granato is dead.,news website,https://n5ti.com/stories/1275/,https://newsmeter.in/fact-check-no-uks-covid-vaccine-trial-volunteer-dr-elisa-is-not-dead/,English,FALSE,"Dr Elisa Granato, volunteer for COVID-19 vaccine is alive. "
4/25/2020,United States,United Kingdom,,,"United States, United Kingdom ",LeadStories,A volunteer for Oxford coronavirus vaccine died.,n5ti.com,https://n5ti.com/stories/1275/,https://leadstories.com/hoax-alert/2020/04/fact-check-first-volunteer-in-uk-coronavirus-vaccine-trial-has-died---news-oxford.html,English,FALSE,Department of Health and Social Care and the woman in the article denied the claim.
4/25/2020,United States,,,,United States,PolitiFact,“First volunteer in UK coronavirus vaccine trial has died.”,Bloggers,https://www.facebook.com/photo.php?fbid=1162712617456586&set=a.102199276841264&type=3&theater,https://www.politifact.com/factchecks/2020/may/05/blog-posting/no-first-volunteer-uk-covid-19-vaccine-trial-hasnt/,English,FALSE,"Elisa Granato, the first volunteer to be injected in a COVID-19 vaccine trial in Europe, is “100% alive.”"
4/26/2020,Greece,,,,Greece,Ellinika Hoaxes,The first volunteer for the new COVID-19 vaccine died.,"Blogs, News",,https://www.ellinikahoaxes.gr/2020/04/26/nekri-emvolio-covid19/,Greek,FALSE,The volunteer in question is alive and she posted a video of herself denying the allegations and effectively proving that she is alive.
