When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation
5/4/2020,France,Chile,Brazil,,"France, Chile, Brazil",AFP,"Wearing a mask during an extended period leads to a lack of oxygen called ""hypoxia"".",Social Media,https://perma.cc/WNG6-6CJZ?type=image,https://factuel.afp.com/non-lutilisation-du-masque-de-protection-nentraine-pas-un-manque-doxygene,French,FALSE,"According to several experts consulted, this information is false : wearing masks can't lead to this kind of hypoxia, and removing frequently its mask in order to breathe better is dangerous."
5/7/2020,Brazil,,,,Brazil,Agência Lupa,Wearing masks for a long period of time can cause hypoxia.,WhatsApp,https://www.facebook.com/photo.php?fbid=3194224787274538&set=a.1147659965264374&type=3,https://piaui.folha.uol.com.br/lupa/2020/05/07/verificamos-falso-mascara-hipoxia/,Portuguese,FALSE,"To cause hypoxia, a mask would have to be tightly sealed. Ordinary masks are not tightly sealed, so fresh air does come inside it. Some professional masks are, but precisely because of that they have an air filter."
4/30/2020,Mexico,,,,Mexico,Animal Político,Prolonged use of the mask causes hypoxia.,Facebook,https://www.facebook.com/orgonitasags75/posts/866780743800540,https://animal.mx/2020/05/falso-usar-cubrebocas-causa-hipoxia/,Spanish,FALSE,"Although it is true that a face mask can generate unpleasant sensations, do not worry, it is normal and using it will not cause you to be deficient in oxygen."
5/7/2020,Colombia,,,,Colombia,Colombiacheck,Prolonged use of face masks causes hypoxia.,"Facebook, Twitter, Instragram, Whatsapp ",http://archive.is/6J2LI,https://colombiacheck.com/chequeos/no-el-uso-prolongado-del-tapabocas-no-produce-hipoxia,Spanish,FALSE,"Surgical, fabric and N95 face masks allow carbon dioxide to pass through. Misusing this implement can increase the chances of contagion."
5/8/2020,Argentina,Spain,Venezuela,Ecuador,"Argentina, Spain, Venezuela, Ecuador",Chequeado,The use or abuse of masks can cause hypoxia.,Social Media,https://drive.google.com/file/d/1gFAKILoF88TW0_k5YrPXTbLwMVgsX-Nf/view?usp=sharing,https://chequeado.com/el-explicador/es-falso-que-el-uso-o-abuso-de-mascarillas-pueda-producir-hipoxia/,Spanish,FALSE,"Experts point out that the tissues of the mask allow gas to pass through and oxygen is a gas, and they also point out that there is no scientific study that indicates that the use of masks or mask can produce hypoxia."
5/8/2020,Colombia,,,,Colombia,La Silla Vacía,The use or abuse of masks can cause hypoxia.,Facebook,https://www.facebook.com/photo.php?fbid=2879982935455901&set=a.277794792341408&type=3&theater,https://lasillavacia.com/detector-no-uso-prolongado-del-tapabocas-no-causa-hipoxia-falta-oxigeno-76600,Spanish,FALSE,There is no scientific evidence to show that the use of face masks generates hypoxia.
5/12/2020,Brazil,,,,Brazil,Aos Fatos,Prolonged use of protective masks causes hypoxia.,Facebook,https://static.aosfatos.org/media/cke_uploads/2020/05/12/cardhipoxia.jpg,https://www.aosfatos.org/noticias/nao-e-verdade-que-uso-prolongado-de-mascara-de-protecao-causa-hipoxia/,Portuguese,FALSE,"Infectologist and pulmonologist consulted by Aos Fatos claim that hypoxia is caused by diseases, such as anemia or pneumonia, not by the use of masks, which are now mandatory in several cities to contain the transmission of COVID-19."
5/1/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,Prolonged use of mask can cause hypoxia.,Whatsapp,,https://efectococuyo.com/cocuyo-chequea/hipoxia-mascarillas/,Spanish,FALSE,Doctors explain the tissues of the mask let gases like oyxgen to pass through.
5/10/2020,India,,,,India,India Today,"Prolonged use of mask causes hypoxia, oxygen deficiency, fatigue and loss of reflexes.",Facebook post,http://archive.vn/TjS0ww,https://www.indiatoday.in/fact-check/story/fact-check-can-prolonged-use-of-masks-cause-oxygen-deficiency-and-fatigue-1676405-2020-05-10,English,Mostly False,Prolonged use of masks is safe provided it is clean and of appropriate size. They should not be worn too tightly.
5/21/2020,Spain,,,,Spain,Newtral.es,The use of masks produces hypoxia.,WhatsApp chain,,https://www.newtral.es/el-uso-de-mascarillas-no-produce-hipoxia/20200521/,Spanish,FALSE,"Masks retain particles, not gases. Therefore masks do allow oxygen and carbon dioxide to pass through. Hypoxia is generally caused by lung diseases."
